DATE_KEY,Meta,Meta-1,Meta-2,Meta-3,Display ads,Google,Perf max,Shopping,Video ads,new_customers
2021-09-28,11270.755906121685,10805.654172542645,11009.225735590659,11023.522833178462,531.18079,1833.751655,,1941.821249,364.975431,18.0
2021-09-29,11142.05077174269,11270.755906121685,10805.654172542645,11009.225735590659,682.668494,1671.933099,,1707.328156,280.405688,21.0
2021-09-30,10844.035747704616,11142.05077174269,11270.755906121685,10805.654172542645,682.662258,1979.736846,,1576.569818,277.016411,15.0
2021-10-01,9879.459000752531,10844.035747704616,11142.05077174269,11270.755906121685,686.716791,1541.487756,,1474.552516,284.434245,20.0
2021-10-02,8711.426111076393,9879.459000752531,10844.035747704616,11142.05077174269,686.374973,1488.420256,,1636.922002,285.03467,12.0
2021-10-03,8963.945743801192,8711.426111076393,9879.459000752531,10844.035747704616,700.087381,1751.882781,,1800.024515,292.269073,14.0
2021-10-04,5381.634119932799,8963.945743801192,8711.426111076393,9879.459000752531,707.533106,1562.996419,,1714.537564,292.607109,24.0
2021-10-05,6703.52987921155,5381.634119932799,8963.945743801192,8711.426111076393,548.624093,1438.344057,,1427.631803,280.99064400000003,17.0
2021-10-06,6616.1306384772115,6703.52987921155,5381.634119932799,8963.945743801192,655.018279,1450.361378,,1266.0657,191.486619,12.0
2021-10-07,6682.3992253085535,6616.1306384772115,6703.52987921155,5381.634119932799,646.713853,1376.133674,,1406.635525,144.558933,8.0
2021-10-08,6392.490274945653,6682.3992253085535,6616.1306384772115,6703.52987921155,659.043269,1303.770064,,1205.923701,146.90949799999999,10.0
2021-10-09,6792.683159667566,6392.490274945653,6682.3992253085535,6616.1306384772115,530.517096,1400.852997,,1267.079166,147.11262,17.0
2021-10-10,6302.450690530284,6792.683159667566,6392.490274945653,6682.3992253085535,611.098517,1396.304071,,1377.738209,147.75375400000001,15.0
2021-10-11,5903.586287286447,6302.450690530284,6792.683159667566,6392.490274945653,758.601009,1382.834792,,1365.051825,148.635119,22.0
2021-10-12,5910.088466428171,5903.586287286447,6302.450690530284,6792.683159667566,507.17328399999997,1429.939436,,1080.633586,150.421864,22.0
2021-10-13,6066.7993973384755,5910.088466428171,5903.586287286447,6302.450690530284,459.672151,1221.533868,,1241.433812,146.204058,16.0
2021-10-14,5650.140034450261,6066.7993973384755,5910.088466428171,5903.586287286447,533.841684,1461.617016,,1161.142404,145.36681199999998,17.0
2021-10-15,5382.902761409393,5650.140034450261,6066.7993973384755,5910.088466428171,771.728109,1489.7090269999999,,1486.849812,145.75688,16.0
2021-10-16,5363.115663860144,5382.902761409393,5650.140034450261,6066.7993973384755,655.230872,1481.142808,,1781.382053,145.653312,17.0
2021-10-17,5313.51775282595,5363.115663860144,5382.902761409393,5650.140034450261,584.097268,1460.018666,,1910.729104,147.034393,10.0
2021-10-18,5006.122716154556,5313.51775282595,5363.115663860144,5382.902761409393,781.817036,1535.66799,,1990.391695,148.050494,22.0
2021-10-19,6148.917507744965,5006.122716154556,5313.51775282595,5363.115663860144,660.086043,1464.23705,,2173.333239,1035.444924,13.0
2021-10-20,6397.1701707338725,6148.917507744965,5006.122716154556,5313.51775282595,565.876499,1395.934286,,2311.055895,1057.316203,11.0
2021-10-21,6472.797647346224,6397.1701707338725,6148.917507744965,5006.122716154556,449.078392,1237.26675,,2360.193237,1026.833961,18.0
2021-10-22,6242.01509046098,6472.797647346224,6397.1701707338725,6148.917507744965,655.270976,1203.700913,,2078.178407,1043.095159,9.0
2021-10-23,6258.656440547807,6242.01509046098,6472.797647346224,6397.1701707338725,595.568253,1225.869348,,2233.443896,1053.170169,12.0
2021-10-24,6399.506871875814,6258.656440547807,6242.01509046098,6472.797647346224,624.215046,1338.950189,,2273.215714,1064.737862,17.0
2021-10-25,6301.056082775412,6399.506871875814,6258.656440547807,6242.01509046098,561.567559,1460.893976,,2315.4354240000002,1046.456312,10.0
2021-10-26,6262.106983704392,6301.056082775412,6399.506871875814,6258.656440547807,419.439764,1566.849807,,2436.703029,1038.780278,19.0
2021-10-27,6836.1342066237185,6262.106983704392,6301.056082775412,6399.506871875814,2269.663745,2710.217927,,2546.099504,1049.741504,14.0
2021-10-28,7212.916933793255,6836.1342066237185,6262.106983704392,6301.056082775412,2343.933775,2755.430641,,2561.030312,1056.10814,5.0
2021-10-29,6990.238379016426,7212.916933793255,6836.1342066237185,6262.106983704392,903.203958,2183.607758,,2471.166924,1076.960897,7.0
2021-10-30,7125.0499853626525,6990.238379016426,7212.916933793255,6836.1342066237185,2600.780205,1820.260476,,2652.4417000000003,1061.248958,11.0
2021-10-31,7238.040990972248,7125.0499853626525,6990.238379016426,7212.916933793255,2081.152114,1952.969878,,2611.543929,1019.201264,5.0
2021-11-01,9167.218014507038,7238.040990972248,7125.0499853626525,6990.238379016426,2309.883528,3450.3941330000002,,4261.857138,1403.155441,178.0
2021-11-02,12455.465764447383,9167.218014507038,7238.040990972248,7125.0499853626525,2348.9002610000002,2278.238734,,5003.16309,1393.099788,51.0
2021-11-03,13879.188918956135,12455.465764447383,9167.218014507038,7238.040990972248,2612.692723,2813.090071,,5699.980289,1160.683863,43.0
2021-11-04,14460.86880983378,13879.188918956135,12455.465764447383,9167.218014507038,2240.351938,2608.985718,,5264.286922,943.477146,33.0
2021-11-05,15453.487470541995,14460.86880983378,13879.188918956135,12455.465764447383,1390.092078,2679.033765,,5110.237596,948.8910089999999,29.0
2021-11-06,16295.634750446752,15453.487470541995,14460.86880983378,13879.188918956135,3238.741972,2492.632248,,5506.702111,944.514536,45.0
2021-11-07,16811.32406098977,16295.634750446752,15453.487470541995,14460.86880983378,2645.591426,2522.965967,,5320.4383450000005,954.9592690000001,24.0
2021-11-08,16446.20761824886,16811.32406098977,16295.634750446752,15453.487470541995,2518.909605,2853.5490019999997,,5703.385456,948.708433,26.0
2021-11-09,17848.991903722876,16446.20761824886,16811.32406098977,16295.634750446752,2637.833796,3024.403021,,3932.725115,903.8746980000001,29.0
2021-11-10,16396.4258562645,17848.991903722876,16446.20761824886,16811.32406098977,1798.040428,2877.79321,,2814.173267,491.42942800000003,21.0
2021-11-11,16240.117743434566,16396.4258562645,17848.991903722876,16446.20761824886,1728.484463,2882.486098,,3232.1460270000002,493.894982,22.0
2021-11-12,16051.135932368765,16240.117743434566,16396.4258562645,17848.991903722876,2244.426639,3084.68736,,3477.646778,478.864354,29.0
2021-11-13,13999.256428617067,16051.135932368765,16240.117743434566,16396.4258562645,1775.566486,2479.106833,,4486.286967,172.841918,18.0
2021-11-14,14142.74311651591,13999.256428617067,16051.135932368765,16240.117743434566,1561.47081,2501.879309,,3907.157292,174.501126,27.0
2021-11-15,13833.888347497683,14142.74311651591,13999.256428617067,16051.135932368765,1910.196654,2669.027869,,4592.551247,172.852421,33.0
2021-11-16,10925.228456018942,13833.888347497683,14142.74311651591,13999.256428617067,1446.910492,2005.053949,,4587.639391,166.809687,19.0
2021-11-17,9540.020531637823,10925.228456018942,13833.888347497683,14142.74311651591,1123.013113,1815.481302,,4921.982443,176.809195,19.0
2021-11-18,7654.656370371765,9540.020531637823,10925.228456018942,13833.888347497683,406.271811,2046.853098,,4971.48884,176.022245,30.0
2021-11-19,5926.824675055469,7654.656370371765,9540.020531637823,10925.228456018942,328.65238,2428.842524,,4490.084807,176.382331,27.0
2021-11-20,5473.66704451619,5926.824675055469,7654.656370371765,9540.020531637823,237.574205,2188.217473,,3709.282275,176.361442,21.0
2021-11-21,5553.453348139086,5473.66704451619,5926.824675055469,7654.656370371765,391.31501099999997,2659.91432,,3519.330272,177.64990799999998,22.0
2021-11-22,4201.771445254951,5553.453348139086,5473.66704451619,5926.824675055469,368.230905,2386.065349,,3961.756061,174.32741,26.0
2021-11-23,3753.5409990519815,4201.771445254951,5553.453348139086,5473.66704451619,275.34622,2196.40001,,3693.0816059999997,174.325602,29.0
2021-11-24,3378.3823856407907,3753.5409990519815,4201.771445254951,5553.453348139086,292.864039,2335.140007,,3378.238145,108.242057,33.0
2021-11-25,2623.665119274347,3378.3823856407907,3753.5409990519815,4201.771445254951,302.267376,1888.949992,,3702.279786,,30.0
2021-11-26,2738.448574291101,2623.665119274347,3378.3823856407907,3753.5409990519815,227.704709,3440.270001,,5282.55551,,65.0
2021-11-27,2903.5013407425313,2738.448574291101,2623.665119274347,3378.3823856407907,253.452493,2168.050014,,5268.495774,,34.0
2021-11-28,2954.581963780664,2903.5013407425313,2738.448574291101,2623.665119274347,245.614993,1595.909999,,5811.800588,,29.0
2021-11-29,2883.3935157724054,2954.581963780664,2903.5013407425313,2738.448574291101,296.518479,1965.270004,,5964.128179,,80.0
2021-11-30,1805.5075693154251,2883.3935157724054,2954.581963780664,2903.5013407425313,187.852857,1961.119996,,4407.159515,,18.0
2021-12-01,1880.0348991648357,1805.5075693154251,2883.3935157724054,2954.581963780664,250.508274,1600.1499919999999,,3801.951196,133.391853,18.0
2021-12-02,4529.765600715889,1880.0348991648357,1805.5075693154251,2883.3935157724054,577.683593,1961.75,,3625.079548,135.994743,9.0
2021-12-03,5168.928241293665,4529.765600715889,1880.0348991648357,1805.5075693154251,504.08374,1879.949998,,3369.756464,133.645576,24.0
2021-12-04,5463.671698673442,5168.928241293665,4529.765600715889,1880.0348991648357,481.00554,1868.450003,,4001.756074,214.06392300000002,13.0
2021-12-05,5318.028707917501,5463.671698673442,5168.928241293665,4529.765600715889,790.437071,1971.969996,,3978.430162,427.190993,13.0
2021-12-06,6237.003076549363,5318.028707917501,5463.671698673442,5168.928241293665,747.569448,1952.819998,,3927.487132,453.860515,12.0
